length,molecular_weight,aromaticity,instability_index,isoelectric_point,gravy,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
919,102450.8623,0.1001088139281828,39.73983677910784,5.763553428649902,-0.2202393906420022,0.07072905331882481,0.018498367791077257,0.060935799782372145,0.06637649619151251,0.056583242655059846,0.07725788900979326,0.028291621327529923,0.035908596300326445,0.05223068552774755,0.1044613710554951,0.01958650707290533,0.031556039173014146,0.031556039173014146,0.030467899891186073,0.05331882480957562,0.08705114254624592,0.062023939064200215,0.06964091403699674,0.018498367791077257,0.025027203482045703,nuclear
450,52674.9295,0.13555555555555554,45.90004444444445,9.149304771423342,-0.44688888888888895,0.07111111111111111,0.008888888888888889,0.042222222222222223,0.06888888888888889,0.04666666666666667,0.04888888888888889,0.03333333333333333,0.051111111111111114,0.09777777777777778,0.10888888888888888,0.02666666666666667,0.04666666666666667,0.02666666666666667,0.04,0.04,0.07111111111111111,0.03777777777777778,0.044444444444444446,0.03111111111111111,0.057777777777777775,nuclear
242,28115.186199999996,0.06611570247933884,50.848388429752056,8.535178947448731,-0.5371900826446281,0.045454545454545456,0.049586776859504134,0.05785123966942149,0.07851239669421488,0.024793388429752067,0.0371900826446281,0.049586776859504134,0.05785123966942149,0.09504132231404959,0.11570247933884298,0.02066115702479339,0.04132231404958678,0.028925619834710745,0.03305785123966942,0.06198347107438017,0.05785123966942149,0.05785123966942149,0.045454545454545456,0.012396694214876033,0.028925619834710745,nuclear
582,66897.8447,0.04639175257731959,51.92010309278364,9.572217369079588,-1.0304123711340207,0.05670103092783505,0.00859106529209622,0.05154639175257732,0.11512027491408934,0.022336769759450172,0.041237113402061855,0.01718213058419244,0.058419243986254296,0.15463917525773196,0.06357388316151202,0.018900343642611683,0.03436426116838488,0.03951890034364261,0.037800687285223365,0.06701030927835051,0.07731958762886598,0.05326460481099656,0.058419243986254296,0.00859106529209622,0.015463917525773196,nuclear
567,64550.9483,0.06525573192239859,45.98042328042334,9.78683261871338,-0.28112874779541447,0.05291005291005291,0.026455026455026454,0.029982363315696647,0.0564373897707231,0.04409171075837742,0.042328042328042326,0.026455026455026454,0.05114638447971781,0.09876543209876543,0.12874779541446207,0.024691358024691357,0.04938271604938271,0.03880070546737213,0.06172839506172839,0.054673721340388004,0.07231040564373897,0.054673721340388004,0.06525573192239859,0.008818342151675485,0.012345679012345678,nuclear
1167,131614.9719,0.05227077977720651,51.28080548414772,6.671897315979005,-1.0964867180805484,0.049700085689802914,0.013710368466152529,0.07455012853470437,0.10025706940874037,0.032562125107112254,0.050556983718937444,0.02313624678663239,0.037703513281919454,0.11910882604970009,0.06341045415595545,0.01970865467009426,0.04798628963153385,0.04284490145672665,0.04113110539845758,0.05141388174807198,0.11139674378748929,0.05912596401028278,0.04198800342759212,0.006855184233076264,0.012853470437017995,nuclear
136,15433.632099999999,0.05147058823529412,56.70808823529411,10.749796867370605,-1.0176470588235293,0.11029411764705882,0.014705882352941176,0.03676470588235294,0.0661764705882353,0.03676470588235294,0.051470588235294115,0.007352941176470588,0.014705882352941176,0.125,0.08088235294117647,0.007352941176470588,0.022058823529411766,0.058823529411764705,0.0661764705882353,0.125,0.058823529411764705,0.051470588235294115,0.051470588235294115,0.0,0.014705882352941176,nuclear
847,96557.3055,0.05903187721369539,55.48301062573813,8.533631706237792,-0.8276269185360094,0.07792207792207792,0.008264462809917356,0.06965761511216056,0.1050767414403778,0.03305785123966942,0.05667060212514758,0.01652892561983471,0.031877213695395513,0.10153482880755609,0.09327036599763873,0.014167650531286895,0.01770956316410862,0.03896103896103896,0.0590318772136954,0.08028335301062574,0.0602125147579693,0.043683589138134596,0.06611570247933884,0.010625737898465172,0.015348288075560802,nuclear
895,99365.0199,0.08379888268156424,49.519899441340996,6.957683753967285,-0.08972067039106148,0.060335195530726256,0.01564245810055866,0.05251396648044693,0.048044692737430165,0.04581005586592179,0.06927374301675977,0.02905027932960894,0.06480446927374302,0.05921787709497207,0.11843575418994413,0.0223463687150838,0.04692737430167598,0.04581005586592179,0.041340782122905026,0.03910614525139665,0.09162011173184358,0.049162011173184354,0.06256983240223464,0.01564245810055866,0.0223463687150838,nuclear
2715,305408.6911,0.06629834254143646,49.9850570902398,5.903093147277832,-0.7086556169429098,0.06482504604051566,0.01841620626151013,0.05930018416206261,0.09429097605893186,0.032044198895027624,0.06335174953959484,0.022467771639042358,0.04419889502762431,0.08029465930018416,0.09060773480662983,0.02430939226519337,0.038305709023941065,0.06077348066298342,0.043462246777163906,0.0570902394106814,0.07882136279926336,0.05119705340699816,0.041988950276243095,0.012154696132596685,0.022099447513812154,nuclear
